rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH129_P0_A1_S1_L002_R1_001	-0.521336606	-1.335119154	-2.314184809	-0.835480494	1.213090478	2.244219635	-0.276158642	0.173231816	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool1_S1_L007.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A10_S10_L002_R1_001	0.196700346	0.385308442	0.828426083	0.245138305	-0.392500755	-0.638375335	0.270339934	-0.244237624	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A11_S11_L002_R1_001	0.38981913	-0.301089403	-1.23326057	-0.43411348	0.402265665	-0.040936456	-0.103151622	-0.276490356	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool1_S1_L007.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A12_S12_L002_R1_001	-0.46206884	-0.168940999	0.640436064	-0.074462679	-0.340037869	-0.376802686	2.702069441	1.736578273	G1.S	AC	AC	G1.S	G1.S	G1.S	MGH129	MGH129_P0_Pool1_S1_L007.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A3_S3_L002_R1_001	-0.13938003	-0.600301217	-0.981587265	-0.732802607	-0.049588107	0.047605159	3.02624092	-0.032501741	G1.S	NPC.2	NPC	G1.S	G1.S	G1.S	MGH129	MGH129_P0_Pool1_S1_L007.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A5_S5_L002_R1_001	-0.19961693	0.03287889	0.940977045	0.332049458	0.438022563	0.180156268	-0.047704145	-0.045387225	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A6_S6_L002_R1_001	-0.464386026	-0.18966178	0.584541578	0.768587255	0.257405971	-0.002654894	0.039845038	-0.224519689	OPC	OPC	OPC	Undiff	PRO	OPC	MGH129	MGH129_P0_Pool1_S1_L007.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A7_S7_L002_R1_001	-0.467517814	-0.417807819	-0.282984534	-0.161311689	-0.468847568	-0.359827161	2.33376803	0.613072374	G1.S	OPC	OPC	G1.S	G1.S	G1.S	MGH129	MGH129_P0_Pool1_S1_L007.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A8_S8_L002_R1_001	-0.683547414	-1.551833187	-2.404910913	-1.098640398	1.190418239	1.59860516	-0.254549491	0.101926873	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool1_S1_L007.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_A9_S9_L002_R1_001	0.226417282	0.538803019	1.074511745	0.099934205	-0.357814727	-0.280038376	-0.578538129	-0.511077981	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B1_S13_L002_R1_001	-0.498800061	-0.242324225	1.294982518	1.043985494	0.362696602	-0.192837979	-0.531015745	-0.056314022	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B10_S22_L002_R1_001	-0.200564279	0.297551953	0.548593903	-0.105915564	-0.544326359	-0.239051392	-0.543712652	-0.077340894	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B11_S23_L002_R1_001	-0.362869234	-0.483689062	0.764974684	0.418076376	-0.022970879	-0.160288929	-0.315352303	-0.23914572	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B12_S24_L002_R1_001	-0.210798051	-0.450987696	0.523260936	0.159123792	-0.107730416	-0.151268457	0.208630764	0.090755322	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B2_S14_L002_R1_001	0.257381213	0.455581988	1.053408168	0.215798322	-0.501231632	-0.469400016	-0.192867144	-0.363508576	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B4_S16_L002_R1_001	0.320053077	0.100905929	0.085991309	0.364499128	-0.268301508	-0.333232164	-0.356663674	0.872776338	G2.M	OPC	OPC	G2.M	G2.M	G2.M	MGH129	MGH129_P0_Pool1_S1_L007.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B5_S17_L002_R1_001	-0.370039762	-1.458020319	-2.240932677	-0.869944428	1.516073795	0.9844461	-0.146674123	-0.343071089	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool1_S1_L007.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B6_S18_L002_R1_001	0.309115967	0.132994045	0.243495368	-0.201641088	-0.236751082	-0.315093606	0.018380524	-0.212223134	MES.2	MES.2	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool1_S1_L007.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B7_S19_L002_R1_001	-0.214241019	-0.829366495	-2.247382805	-0.975540028	0.992209223	2.629966833	-0.052762596	-0.260537092	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool1_S1_L007.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B8_S20_L002_R1_001	0.487078142	0.158401863	-0.685079961	-0.530924163	-0.875212153	-0.597545576	-0.344256452	-0.331480891	MES.2	MES.2	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool1_S1_L007.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_B9_S21_L002_R1_001	-0.442472418	-0.368176259	0.674703654	0.111825181	-0.252778993	-0.365270311	-0.614552848	-0.166628592	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool1_S1_L007.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_C1_S25_L002_R1_001	-0.078496559	0.194443473	1.002186761	0.256136628	-0.539114714	0.102939773	-0.146003668	0.049567333	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool2_S2_L007.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_C12_S36_L002_R1_001	-0.420418855	-1.509428963	-1.803862425	-0.088550869	0.938444752	0.395967225	-0.305188908	-0.158769484	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool2_S2_L007.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_C3_S27_L002_R1_001	-0.341973021	-1.011455543	-0.922625891	0.48824505	1.036097063	0.885645211	-0.405034463	0.007191478	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool2_S2_L007.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_C4_S28_L002_R1_001	-0.215612475	-0.500198596	-0.344811676	-0.315186628	-0.886683887	-0.776686542	2.646194155	0.90011637	G1.S	MES.2	MES	G1.S	G1.S	G1.S	MGH129	MGH129_P0_Pool2_S2_L007.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_C5_S29_L002_R1_001	-0.203339139	0.796916994	0.74687299	0.20964307	-0.346994217	-0.087622984	-0.170195492	-0.077128397	MES.1	MES.1	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool2_S2_L007.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_C7_S31_L002_R1_001	0.064329243	0.47215511	1.113093265	0.264991827	-0.328109185	-0.126658513	0.119766247	-0.227954116	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool2_S2_L007.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_C8_S32_L002_R1_001	0.101374092	-0.152906853	-0.252388645	-0.345103703	-0.340389976	-0.720548826	-0.575196411	-0.288823235	MES.2	MES.2	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool2_S2_L007.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_C9_S33_L002_R1_001	-0.248044536	0.005114378	1.134739113	0.22086382	-0.319509274	-0.10535275	-0.341215623	-0.284735651	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool2_S2_L007.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_D11_S47_L002_R1_001	0.316977647	0.73441475	1.575026788	0.333201209	-0.35956	-0.545947433	-0.354493427	-0.444268454	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool2_S2_L007.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_D12_S48_L002_R1_001	-0.197087731	-0.253560669	-1.056538022	-0.441707521	0.443182059	0.738259767	1.075485663	0.274654779	G1.S	NPC.2	NPC	G1.S	G1.S	G1.S	MGH129	MGH129_P0_Pool2_S2_L007.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_D5_S41_L002_R1_001	0.430015757	2.048202054	0.373125549	-0.292514276	-0.895860045	-0.306554225	-0.067990952	-0.039889695	MES.1	MES.1	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool2_S2_L007.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_D7_S43_L002_R1_001	-0.529007675	-0.877776652	-2.284831293	-0.949128335	0.726515044	1.338348085	-0.327469977	0.097608175	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool2_S2_L007.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_D8_S44_L002_R1_001	0.208904895	0.203121243	0.570614357	-0.019180447	-0.404779328	-0.514251927	-0.17647296	-0.10765572	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool2_S2_L007.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_E1_S49_L002_R1_001	-0.406796597	-0.289756902	0.505560881	0.380498045	0.603936392	-0.008455462	-0.407835206	-0.08570898	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool3_S3_L007.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_E10_S58_L002_R1_001	-0.164284772	-0.958872636	-0.548756735	0.399499572	0.940668155	-0.128950808	-0.120064697	-0.110618692	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool3_S3_L007.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_E12_S60_L002_R1_001	0.880052444	0.674681548	-0.103374833	-0.414329486	-0.020284835	-0.335626794	-0.499959464	-0.147730865	MES.2	MES.2	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool3_S3_L007.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_E2_S50_L002_R1_001	0.679751489	-0.036945237	-0.867996769	-0.25952289	-0.421912745	-0.396382301	-0.487741564	-0.078798756	MES.2	MES.2	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool3_S3_L007.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_E3_S51_L002_R1_001	0.230960628	-0.202000588	0.631013028	0.011193074	-0.30975308	-0.392048651	-0.312146436	-0.307575439	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool3_S3_L007.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_E4_S52_L002_R1_001	0.165856746	0.096065021	1.729985517	0.386269439	-0.485867196	-0.403130793	0.182537742	-0.035526168	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool3_S3_L007.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_E6_S54_L002_R1_001	0.150193749	-0.10686574	0.097376084	-0.094919737	-0.391519809	-0.525077026	1.10777131	0.058882284	G1.S	MES.2	MES	G1.S	G1.S	G1.S	MGH129	MGH129_P0_Pool3_S3_L007.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_E8_S56_L002_R1_001	0.076043721	-0.773858293	-2.374877668	-1.192559933	-0.93886733	-0.443766307	0.461385483	0.619523654	G2.M	MES.2	MES	G2.M	G2.M	G2.M	MGH129	MGH129_P0_Pool3_S3_L007.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F1_S61_L002_R1_001	0.026645772	-0.023362852	-1.544486204	-0.158041945	-0.294763086	-0.239099945	1.702212769	1.804964832	G2.M	MES.2	MES	G2.M	G2.M	G2.M	MGH129	MGH129_P0_Pool3_S3_L007.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F10_S70_L002_R1_001	0.09707869	-0.224410841	-0.307298795	0.055084904	0.012148867	-0.282938753	-0.443794214	-0.218955955	MES.2	MES.2	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool3_S3_L007.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F11_S71_L002_R1_001	1.383170585	1.085612426	-1.008773612	-0.502983034	-0.496757674	-0.191442185	-0.215984946	0.181223783	MES.2	MES.2	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool3_S3_L007.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F2_S62_L002_R1_001	-0.311112618	-0.61173292	-2.43198764	-1.168489117	0.431571883	0.145660085	-0.231786987	2.424574763	G2.M	NPC.1	NPC	G2.M	G2.M	G2.M	MGH129	MGH129_P0_Pool3_S3_L007.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F4_S64_L002_R1_001	0.351644254	0.695055879	1.02291173	0.088527119	-0.439264392	-0.315169401	-0.412299632	-0.323828407	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool3_S3_L007.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F6_S66_L002_R1_001	0.182426082	1.324365829	0.812695209	0.234249208	-0.599741713	-0.443784211	-0.520731423	-0.042360584	MES.1	MES.1	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool3_S3_L007.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F7_S67_L002_R1_001	-0.036963397	-1.239919605	-2.091203484	-1.115315942	0.617727907	0.982280621	-0.600622818	-0.065605199	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool3_S3_L007.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F8_S68_L002_R1_001	-0.416461137	0.314577851	0.310799565	0.029716693	-0.126752346	0.419021542	-0.542815565	-0.023154305	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool3_S3_L007.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_F9_S69_L002_R1_001	0.223641186	0.452452654	0.346084236	-0.018746733	-0.614269442	-0.66146744	-0.229051093	-0.340830225	MES.1	MES.1	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool3_S3_L007.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_G10_S82_L002_R1_001	-0.158112355	-0.975893236	-0.955258497	0.343940993	0.911421273	0.123341335	-0.316608395	-0.30567906	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool4_S4_L007.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_G11_S83_L002_R1_001	0.038148999	0.412509145	-0.067919623	0.263377867	0.429691298	0.31755987	-0.007961739	0.187240895	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool4_S4_L007.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_G12_S84_L002_R1_001	0.060507156	0.531895223	0.992899453	0.289363211	-0.117504464	0.05993438	-0.1413608	-0.244573992	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool4_S4_L007.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_G2_S74_L002_R1_001	0.111822059	1.882320477	0.477050421	-0.225920461	-0.687577309	-0.118829533	-0.452375372	-0.385834958	MES.1	MES.1	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool4_S4_L007.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_G4_S76_L002_R1_001	-0.641612697	0.215432805	1.194364112	0.093613944	-0.095469507	-0.234619774	-0.42396187	-0.756243878	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool4_S4_L007.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_G6_S78_L002_R1_001	-0.487391197	-1.445531288	-1.154096841	0.240130303	1.500249504	0.070789534	-0.225617983	-0.138314129	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool4_S4_L007.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_H10_S94_L002_R1_001	0.671744097	1.997060971	0.687714441	-0.085893787	-0.369941281	-0.014629728	-0.372944987	-0.120429746	MES.1	MES.1	MES	Diff	MES	MES	MGH129	MGH129_P0_Pool4_S4_L007.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_H2_S86_L002_R1_001	-0.097237964	-0.535563097	0.60774034	0.152105757	0.526432367	0.085780588	-0.48826721	0.009912546	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool4_S4_L007.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_H3_S87_L002_R1_001	-0.101361841	0.571093355	0.710916261	0.368621897	-0.490637489	-0.123481422	-0.602911713	-0.20677788	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool4_S4_L007.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_H5_S89_L002_R1_001	0.258135441	1.13207756	1.155132337	0.550767947	-0.68416678	-0.394486224	-0.393971674	-0.455404359	AC	AC	AC	Diff	AC	AC	MGH129	MGH129_P0_Pool4_S4_L007.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_H6_S90_L002_R1_001	-0.051753122	-0.348162416	-0.203510812	0.649632968	0.522031652	-0.476912476	-0.522591748	-0.154212107	OPC	OPC	OPC	Undiff	PRO	OPC	MGH129	MGH129_P0_Pool4_S4_L007.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH129_P0_H8_S92_L002_R1_001	-0.558193337	-0.158894536	-0.142295381	-0.088251093	0.583450462	0.050520162	-0.420350685	-0.127420596	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH129	MGH129_P0_Pool4_S4_L007.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
