rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH211_P13_A1_S1_L007_R1_001	0.158465313	0.872930137	0.134041306	-0.325474856	-0.732005481	-0.531872398	0.313764718	-0.592201936	MES.1	MES.1	MES	Diff	MES	MES	MGH211	MGH211_P13_A1_S1_L008.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_A3_S3_L007_R1_001	1.339136213	-0.31806316	-0.136231111	0.020261328	-0.868325956	-1.044323469	-0.393160974	-0.564332559	MES.2	MES.2	MES	Diff	MES	MES	MGH211	MGH211_P13_A1_S1_L008.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_A4_S4_L007_R1_001	-1.297875659	-0.479527167	-0.451286414	-0.367062974	-0.312709958	-0.009442764	0.01251132	4.219215177	G2.M	NPC.2	NPC	G2.M	G2.M	G2.M	MGH211	MGH211_P13_A1_S1_L008.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_B11_S23_L007_R1_001	-0.030781002	0.162688478	0.132332374	0.192958724	0.689032528	0.883427264	0.195086026	-0.020317279	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH211	MGH211_P13_A1_S1_L008.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_B12_S24_L007_R1_001	1.13259726	1.068677105	-0.07439328	-0.30552904	-0.977927542	-0.522346879	0.028012817	-0.432832305	MES.2	MES.2	MES	Diff	MES	MES	MGH211	MGH211_P13_A1_S1_L008.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_C10_S34_L007_R1_001	-0.522155463	0.121863541	-0.304111242	-0.395915872	-0.341014769	-0.815226163	-0.621713486	-0.688600401	MES.1	MES.1	MES	Diff	MES	MES	MGH211	MGH211_P13_C1_S2_L008.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_C12_S36_L007_R1_001	-1.018607798	-0.372736726	-0.632329591	-0.032753864	1.047900236	1.395201004	-0.093166947	-0.276180652	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH211	MGH211_P13_C1_S2_L008.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_C2_S26_L007_R1_001	-1.009242408	-0.747652947	-0.242468122	-0.007005606	1.138805304	1.705500741	-0.345572778	-0.695927089	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH211	MGH211_P13_C1_S2_L008.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_C3_S27_L007_R1_001	1.958500051	0.967962114	-0.02505569	-0.287497277	-0.645482327	-0.78944641	-0.502828662	-0.474955207	MES.2	MES.2	MES	Diff	MES	MES	MGH211	MGH211_P13_C1_S2_L008.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_C4_S28_L007_R1_001	-1.146921132	-0.258607351	-0.204207641	-0.052309425	0.418060642	-0.200427149	-0.371148015	-0.475598485	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH211	MGH211_P13_C1_S2_L008.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_C8_S32_L007_R1_001	1.715632767	1.058589711	0.467497943	0.019532311	-1.212469027	-0.810330112	0.568719935	0.295360067	MES.2	MES.2	MES	Diff	MES	MES	MGH211	MGH211_P13_C1_S2_L008.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_D11_S47_L007_R1_001	-1.164817948	0.198455823	-0.701322214	-0.097060064	0.41152742	0.068372638	1.768127723	1.518346904	G1.S	NPC.1	NPC	G1.S	G1.S	G1.S	MGH211	MGH211_P13_C1_S2_L008.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_E12_S60_L007_R1_001	-0.181170403	-0.409006289	-0.366524772	-0.487749996	0.567896313	0.686542958	-0.224027629	-0.529079669	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH211	MGH211_P13_E1_S3_L008.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_E2_S50_L007_R1_001	1.584746678	1.289985493	0.169886071	-0.147261675	-0.848628315	-0.687848094	-0.035844076	-0.111255879	MES.2	MES.2	MES	Diff	MES	MES	MGH211	MGH211_P13_E1_S3_L008.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_F11_S71_L007_R1_001	-0.681015809	-0.540363947	-0.096044328	0.24316377	-0.044224709	-0.957040351	0.994300675	3.535370777	G2.M	OPC	OPC	G2.M	G2.M	G2.M	MGH211	MGH211_P13_E1_S3_L008.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_F5_S65_L007_R1_001	0.181347484	7.65E-05	-0.420376425	-0.117294075	-0.130694039	0.412040815	0.91468132	3.587805674	G2.M	NPC.2	NPC	G2.M	G2.M	G2.M	MGH211	MGH211_P13_E1_S3_L008.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_F9_S69_L007_R1_001	-1.133652729	-1.22823488	-1.291329833	-0.568877529	-0.69672053	-0.297141113	-0.28491813	-0.579619662	G1.S	NPC.2	NPC	G1.S	G1.S	G1.S	MGH211	MGH211_P13_E1_S3_L008.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH211_P13_H2_S86_L007_R1_001	-1.103550728	-0.99331914	-1.004249797	-0.44977457	0.760514893	1.762179721	-0.413244604	-0.647869971	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH211	MGH211_P13_G1_S4_L008.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
