rna_cell	G1.S	G2.M	AC_PCA	AC_PCA_MICE	OC_PCA	OC_PCA_MICE	stemness	Type_max	Type_max2	Tirosh_Type_PCA	Tirosh_Type_PCA2	Tirosh_Type_PCA_MICE	Tirosh_Type_PCA_MICE2	Sample	meth_cell
MGH142_P1_D6_S50_ME_L001	0.207608312	-0.153183198	0.98770822	0.924466357	-0.637340823	-1.298385137	-0.072504684	AC_PCA	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_F1_S69_ME_L001	-0.107635359	0.039065021	0.830318922	0.684882812	-0.786271915	-1.295491689	-0.033363448	AC_PCA	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool3_S3_ME_L001.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_A8_S16_ME_L001	-0.091874563	0.009569101	1.046306807	1.349072034	-0.722196055	-0.902220768	-0.134861667	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_B11_S31_ME_L001	-0.040825868	-0.285357208	1.046783515	1.08156693	-0.709989567	-1.2151458	0.053983037	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_D2_S46_ME_L001	-0.06164694	-0.117141571	0.88226247	1.017650253	-0.783749266	-1.166943909	-0.153091235	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_D5_S49_ME_L001	-0.049812599	-0.080501972	0.818584772	0.883008065	-0.736045274	-1.465007761	0.013756072	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_E6_S62_ME_L001	-0.117430317	-0.163122454	1.209084847	1.55283735	-0.948275711	-1.250225335	-0.314162039	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool3_S3_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_F8_S76_ME_L001	-0.123837414	-0.003145849	0.716038125	0.828292976	-1.016906717	-1.505035826	0.044797256	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool3_S3_ME_L001.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_H9_S101_ME_L001	0.15358088	-0.079922879	0.958404287	1.102086485	-0.609345552	-0.931369076	-0.043654701	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH142_P1	MGH142_P1-Pool4_S4_ME_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_A7_S15_ME_L001	0.410961927	-0.110571998	0.397086138	0.678744029	-0.102669171	-0.254548446	0.070161259	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_D10_S54_ME_L001	-0.098071671	0.032372507	-0.00841267	-0.051833362	0.674086336	0.990034506	0.148822207	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_E10_S66_ME_L001	0.100387803	-0.08744296	-0.040918179	-0.05971852	0.663953598	1.010574339	-0.099539371	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH142_P1	MGH142_P1-Pool3_S3_ME_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_F4_S72_ME_L001	0.027499279	-0.002190631	-0.579803296	-0.522464504	0.648380991	0.884407597	-0.226643622	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH142_P1	MGH142_P1-Pool3_S3_ME_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_A10_S18_ME_L001	0.088243254	-0.044640397	-0.301001939	-0.396811005	0.245985418	0.535215801	0.169525726	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_A6_S14_ME_L001	-0.052718732	0.068993396	-0.567736467	-0.771416358	0.275770626	0.53525325	-0.232669797	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_C2_S34_ME_L001	-0.071848263	0.044966256	-0.43576736	-0.412268184	0.313948902	0.766956567	-0.013162757	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_C9_S41_ME_L001	-0.116853247	-0.06279279	-0.330587776	-0.443743058	0.22464892	0.5478574	-0.031252828	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_D8_S52_ME_L001	0.006658933	-0.032516656	-0.268918325	-0.126779438	0.279505008	0.530952913	-0.200898743	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_E12_S68_ME_L001	-0.228394347	-0.073471004	-0.100453541	-0.066247022	0.280039165	0.55176502	0.222701288	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P1	MGH142_P1-Pool3_S3_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_F9_S77_ME_L001	-0.088479214	0.118262781	-0.342781612	-0.363983321	0.333390049	0.61845189	0.069580133	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P1	MGH142_P1-Pool3_S3_ME_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_G10_S90_ME_L001	0.115763817	0.129160163	-0.308660841	-0.391813127	0.39085588	0.67908339	-0.128203776	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH142_P1	MGH142_P1-Pool4_S4_ME_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_A11_S19_ME_L001	-0.164610734	0.035131545	0.395578357	0.258689278	-0.635129173	-0.990536976	-0.166530861	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_B12_S32_ME_L001	-0.274240387	-0.08008411	0.191661946	0.113474584	-0.307099502	-0.4885207	-0.031508235	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_B2_S22_ME_L001	0.162417838	0.071789429	0.198958477	0.153316929	-0.145665661	-0.351851379	-0.112219943	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_B3_S23_ME_L001	-0.151501408	0.003369273	0.373022929	0.358253149	-0.055048494	-0.306523997	-0.028662348	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_B6_S26_ME_L001	0.068188872	-0.015758742	0.354343155	0.236805494	-0.082645751	0.054166588	0.164851645	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_C3_S35_ME_L001	0.063268559	-0.101980297	0.123866218	0.053111546	-0.265979189	-0.097734113	0.105131738	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_E1_S57_ME_L001	-0.056207112	-0.030670413	0.076667149	0.016780987	-0.534274674	-0.887274969	-0.087270102	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool3_S3_ME_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_G4_S84_ME_L001	-0.234521222	0.038116423	0.385153378	0.368001059	-0.536766385	-0.957601509	-0.120620745	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool4_S4_ME_L001.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_H10_S102_ME_L001	-0.053763263	0.095284781	0.412253853	0.264125329	-0.284949655	-0.307063204	-0.054299955	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool4_S4_ME_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_A9_S17_ME_L001	-0.129218746	-0.073982108	0.039101261	0.276218212	-0.393267696	-0.813251229	0.087097537	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool1_S1_ME_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_D11_S55_ME_L001	0.0279643	0.056978112	0.234550133	0.324291846	0.105950498	-0.176311522	0.066839088	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_D4_S48_ME_L001	0.127081431	0.150880067	0.201491868	0.343657811	-0.124884485	-0.172266289	-0.075804277	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool2_S2_ME_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH142_P1_G12_S92_ME_L001	0.230176648	-0.101405643	0.395741087	0.401309458	-0.732491595	-1.120172723	0.15023745	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH142_P1	MGH142_P1-Pool4_S4_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
