rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH121_P2_cDNA_fromECRC5790.49_S49_L008_R1_001	0.221429219	0.655642232	0.404958405	-0.32806603	-0.408481349	-0.292607535	-0.48406994	-0.150680412	MES.1	MES.1	MES	Diff	MES	MES	MGH121_P2	MGH121_P2_E1_S3_L007.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P2_cDNA_fromECRC5790.5_S5_L008_R1_001	-0.384669675	-0.666512347	-0.398819644	1.545112637	1.779526394	0.957758629	-0.115527484	0.042653958	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P2	NA
MGH121_P2_cDNA_fromECRC5790.50_S50_L008_R1_001	-0.167989659	0.541135734	1.642042063	-0.114244537	-0.805627164	-0.428366268	-0.438181118	-0.248184904	AC	AC	AC	Diff	AC	AC	MGH121_P2	MGH121_P2_E1_S3_L007.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P2_cDNA_fromECRC5790.51_S51_L008_R1_001	-0.685575835	-0.963109402	-0.906161049	-0.334793782	0.509859175	0.119843544	-0.468170612	-0.461343956	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P2	MGH121_P2_E1_S3_L007.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P2_cDNA_fromECRC5790.52_S52_L008_R1_001	-0.18791763	0.195741509	-0.134825351	-0.321688593	-0.673279851	-0.47297405	-0.422668994	-0.01561251	MES.1	MES.1	MES	Diff	MES	MES	MGH121_P2	MGH121_P2_E1_S3_L007.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P2_cDNA_fromECRC5790.53_S53_L008_R1_001	1.005788284	0.128708945	-0.188680562	-0.391331128	-0.787995762	-0.493758559	-1.016701358	-0.632360144	MES.2	MES.2	MES	Diff	MES	MES	MGH121_P2	MGH121_P2_E1_S3_L007.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P2_cDNA_fromECRC5790.55_S55_L008_R1_001	-0.826330317	-0.807114152	-0.862002635	0.566783321	1.383094252	0.455280285	-0.483666185	-0.402683193	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P2	MGH121_P2_E1_S3_L007.CCTTCG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P2_cDNA_fromECRC5790.57_S57_L008_R1_001	0.003422601	-0.154114727	-0.221840592	-0.476948251	0.03636417	0.110901199	-0.479544789	-0.170762284	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH121_P2	NA
MGH121_P2_cDNA_fromECRC5790.58_S58_L008_R1_001	0.731358241	1.229786089	-0.723625413	-0.297794085	-0.337655096	-0.354509445	0.065536656	-0.029542117	MES.1	MES.1	MES	Diff	MES	MES	MGH121_P2	MGH121_P2_E1_S3_L007.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P2_cDNA_fromECRC5790.59_S59_L008_R1_001	0.314810282	0.079323825	0.519965423	-0.299645128	-0.423854867	0.052213544	-0.524855119	-0.261764631	AC	AC	AC	Diff	AC	AC	MGH121_P2	MGH121_P2_E1_S3_L007.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
