rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH122_P10_A10_S10_L003_R1_001	-0.4316448	-0.024061987	-0.957439406	-0.851498931	0.257836806	0.443486846	1.106744367	3.36303959	G2.M	NPC.2	NPC	G2.M	G2.M	G2.M	MGH122	MGH122_P10_A1_S1_L003.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_A11_S11_L003_R1_001	-0.680574021	-0.834573803	-1.225974886	-1.129012271	0.417695645	1.088588944	1.011568634	-0.199105336	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH122	MGH122_P10_A1_S1_L003.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_A3_S3_L003_R1_001	0.090420142	-0.507944811	-0.375073206	-0.602753605	0.323934205	-0.198223388	0.079715895	0.087610684	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH122	MGH122_P10_A1_S1_L003.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_B1_S13_L003_R1_001	-0.412195664	-0.541813409	-0.512920291	-1.219949921	0.63776701	1.486693654	-0.321858087	0.120365537	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH122	MGH122_P10_A1_S1_L003.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_B10_S22_L003_R1_001	0.312027768	0.602959127	0.488944625	0.32568922	-0.112736629	-0.46772607	0.227951814	-0.143388636	MES.1	MES.1	MES	Diff	MES	MES	MGH122	MGH122_P10_A1_S1_L003.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_B2_S14_L003_R1_001	-0.348876362	-0.832743614	-0.68108253	-0.721678286	-0.125657554	1.292604189	-0.442750692	-0.253544903	NPC.2	NPC.2	NPC	Undiff	PRO	NPC	MGH122	MGH122_P10_A1_S1_L003.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_B3_S15_L003_R1_001	1.643871577	1.198893601	0.014015205	-0.252802494	-0.988737681	-0.725500858	-0.39529193	-0.155168592	MES.2	MES.2	MES	Diff	MES	MES	MGH122	MGH122_P10_A1_S1_L003.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_B5_S17_L003_R1_001	0.318106211	-0.303509383	0.694548872	1.486247587	-0.305412444	-1.539196337	-0.563786701	-0.328110422	OPC	OPC	OPC	Undiff	PRO	OPC	MGH122	MGH122_P10_A1_S1_L003.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_B7_S19_L003_R1_001	2.141110277	0.98171252	-0.249906047	-0.959530662	-1.686269318	-1.884106135	0.036772617	0.033401404	MES.2	MES.2	MES	Diff	MES	MES	MGH122	MGH122_P10_A1_S1_L003.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH122_P10_B8_S20_L003_R1_001	0.130492114	-0.389389446	0.22172555	1.137841764	-0.444057422	-1.499069563	0.038289292	0.674679526	OPC	OPC	OPC	Undiff	PRO	OPC	MGH122	MGH122_P10_A1_S1_L003.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
