rna_cell	G1.S	G2.M	AC_PCA	AC_PCA_MICE	OC_PCA	OC_PCA_MICE	stemness	Type_max	Type_max2	Tirosh_Type_PCA	Tirosh_Type_PCA2	Tirosh_Type_PCA_MICE	Tirosh_Type_PCA_MICE2	Sample	meth_cell
MGH135_P12_RNA_ofRRBS_5398.1_S1_L005_R1_001	0.989385691	1.894120786	-0.807654621	-0.836142463	-0.733191404	-1.188763788	-0.590977458	G2.M	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH135	MGH135_P12_A1_S1_L006.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.10_S10_L005_R1_001	0.073272331	0.006855923	-0.517966526	-0.489115825	0.31930682	0.045493181	0.169398751	OC_PCA	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH135	MGH135_P12_A1_S1_L006.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.11_S11_L005_R1_001	0.182199871	-0.188601068	0.984309208	1.149157231	-0.874497788	-0.98465289	-0.174346399	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH135	MGH135_P12_A1_S1_L006.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.12_S12_L005_R1_001	0.175163394	-0.114507253	-0.153387041	-0.443147121	0.443508241	0.422955331	-0.151417719	OC_PCA	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH135	MGH135_P12_A1_S1_L006.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.13_S13_L005_R1_001	0.036008575	0.208969102	-0.748423827	-0.688709934	0.485844615	0.636742605	-0.032804623	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH135	MGH135_P12_A1_S1_L006.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.14_S14_L005_R1_001	-0.076205595	-0.114912185	1.018975732	1.038406016	-0.185725115	-0.397443462	0.144041312	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH135	MGH135_P12_A1_S1_L006.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.15_S15_L005_R1_001	-0.19832095	-0.058205031	-0.10646933	-0.053905441	0.311659696	0.552144986	-0.287549513	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH135	MGH135_P12_A1_S1_L006.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.16_S16_L005_R1_001	-0.052273295	0.332884026	-0.298508309	-0.218575747	0.088467115	0.05405629	-0.286857784	G2.M	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH135	MGH135_P12_A1_S1_L006.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.17_S17_L005_R1_001	-0.129385806	-0.04199148	-0.363356183	-0.363622609	0.494824892	1.210854126	0.185884674	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH135	MGH135_P12_A1_S1_L006.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.18_S18_L005_R1_001	-0.003177317	0.08080848	-0.319002932	-0.548131446	-1.31584471	-1.9644334	-0.362479463	G2.M	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH135	MGH135_P12_A1_S1_L006.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.19_S19_L005_R1_001	-0.109962208	0.013541097	-0.516809226	-0.50791838	0.562064781	1.462872766	0.428277386	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH135	MGH135_P12_A1_S1_L006.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.2_S2_L005_R1_001	0.373220037	-0.118696508	0.412247901	0.741856513	-0.537344493	-0.726224839	0.005131832	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH135	MGH135_P12_A1_S1_L006.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.20_S20_L005_R1_001	0.009115361	0.016226689	-0.486836744	-0.515749386	0.529999401	0.9935595	0.300881527	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH135	MGH135_P12_A1_S1_L006.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.21_S21_L005_R1_001	-0.159524125	0.167291703	0.765742449	1.005493568	-0.797597681	-1.202703875	-0.020557885	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH135	MGH135_P12_A1_S1_L006.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.22_S22_L005_R1_001	-0.108156405	-0.101139937	-0.098922274	-0.181279896	-0.124364589	0.267760766	-0.439831953	OC_PCA_MICE	OC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH135	MGH135_P12_A1_S1_L006.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH135_P12_RNA_ofRRBS_5398.23_S23_L005_R1_001	0.198774776	-0.116405984	-0.656217262	-0.971920217	0.189241255	-0.098493047	-0.258992558	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH135	MGH135_P12_A1_S1_L006.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
