rna_cell	G1.S	G2.M	AC_PCA	AC_PCA_MICE	OC_PCA	OC_PCA_MICE	stemness	Type_max	Type_max2	Tirosh_Type_PCA	Tirosh_Type_PCA2	Tirosh_Type_PCA_MICE	Tirosh_Type_PCA_MICE2	Sample	meth_cell
MGH208-Pl1-G1_S81_ME_L001	-0.698416458	-0.289879314	0.657982214	0.771103026	-0.484229509	-0.935800944	-0.266964299	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH208_P1	MGH208-Pl1-Pool4_S4_ME_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-G11_S91_ME_L001	-0.486835639	-0.493206876	0.531472643	0.65470981	-0.610265975	-0.947454536	-0.305350593	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH208_P1	MGH208-Pl1-Pool4_S4_ME_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-H9_S101_ME_L001	-0.427996209	-0.543324872	0.968433922	1.00887361	-0.780817062	-1.210241335	-0.359648938	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH208_P1	MGH208-Pl1-Pool4_S4_ME_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-C6_S38_ME_L001	-0.433694162	-0.356283522	0.476693973	0.664650396	-0.316536044	-0.619167692	-0.210948395	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-G2_S82_ME_L001	0.418403737	0.114742702	0.295604486	0.586508291	-0.033373566	-0.022080735	0.06239778	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH208_P1	MGH208-Pl1-Pool4_S4_ME_L001.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-A12_S20_ME_L001	-0.669159216	-0.595586851	0.068268783	0.002073071	-0.270442714	-0.499373258	-0.118229858	AC	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool1_S1_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-B7_S27_ME_L001	-0.011842523	-0.636735301	0.119303903	0.112126013	0.081434659	-0.23023726	-0.086854684	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool1_S1_ME_L001.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-H1_S93_ME_L001	-0.372802757	-0.441549107	0.289404023	0.278030382	0.131682006	0.131772617	0.203846625	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool4_S4_ME_L001.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-H3_S95_ME_L001	-0.370871279	-0.266637344	0.172920527	0.127988523	-0.375331174	-0.491233826	0.118307045	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool4_S4_ME_L001.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-A10_S18_ME_L001	-0.246692187	-0.31028077	0.26455913	0.29661463	0.074555527	-0.052724211	-0.129003607	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool1_S1_ME_L001.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-A3_S11_ME_L001	-0.430159596	-0.129610488	-0.00588919	0.061217779	-0.022104458	-0.069956099	-0.077933255	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool1_S1_ME_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-A6_S14_ME_L001	-0.392776534	-0.129150041	0.166873702	0.264387138	-0.039901428	0.021185688	-0.137739141	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool1_S1_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-A8_S16_ME_L001	-0.119524608	-0.196725174	0.105467591	0.292476837	0.011658124	0.125949791	0.066887603	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool1_S1_ME_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-B1_S21_ME_L001	-0.479920867	-0.453858653	0.26504087	0.286728254	0.071400168	0.145297842	0.002978454	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool1_S1_ME_L001.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-D11_S55_ME_L001	-0.663548024	-0.223485288	0.338515861	0.398262312	-0.231480444	-0.517949476	-0.243516723	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-D12_S56_ME_L001	-0.56535291	-0.452441753	0.468083972	0.625079946	0.112309133	0.278942005	-0.17227814	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-E12_S68_ME_L001	-0.288941833	-0.232295238	0.389032991	0.543449492	0.106748474	0.448285739	-0.02697456	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool3_S3_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-E5_S61_ME_L001	-0.624759226	-0.276288277	0.312951719	0.421846161	-0.18907373	-0.05908896	-0.208493082	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool3_S3_ME_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-F5_S73_ME_L001	-0.450174168	-0.283368337	0.264337798	0.423148187	-0.136434949	-0.114337797	-0.003076766	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool3_S3_ME_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-H5_S97_ME_L001	-0.598720535	-0.265781057	0.225184005	0.233814249	-0.216098033	-0.243615666	-0.024429847	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH208_P1	MGH208-Pl1-Pool4_S4_ME_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-B3_S23_ME_L001	0.99180189	0.177729754	-0.091494884	-0.11847993	-0.295240198	-0.326975757	0.079905926	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool1_S1_ME_L001.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-C12_S44_ME_L001	2.11890354	1.277231474	-0.444133027	-0.574969151	0.039863488	-0.228200758	-0.016467091	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-C3_S35_ME_L001	1.328873421	-0.278005846	-0.319589801	-0.298515145	0.091861131	0.066553114	-0.076286493	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-C5_S37_ME_L001	0.324344888	-0.243254585	-0.226649931	-0.246801452	-0.146926844	-0.236580367	-0.15482023	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-C8_S40_ME_L001	0.902684287	0.133995786	-0.189622433	-0.100726974	-0.319064936	-0.225340239	-0.061858559	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-C9_S41_ME_L001	0.99893429	-0.166804363	-0.124388054	-0.099622978	-0.123682538	0.115103628	-0.05420361	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.CTATTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-D2_S46_ME_L001	2.253587127	0.884814044	-0.326531019	-0.296146722	-0.086145677	-0.065272739	-0.065219435	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool2_S2_ME_L001.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-F9_S77_ME_L001	0.531768527	-0.29035704	-0.394981728	-0.445098636	-0.012181125	0.004697295	-0.127740821	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool3_S3_ME_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH208-Pl1-G12_S92_ME_L001	1.803838039	1.659123488	-0.368824155	-0.419383977	-0.299583577	-0.559587699	-0.285584048	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH208_P1	MGH208-Pl1-Pool4_S4_ME_L001.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
