rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH121_P3_cDNA_fromECRC5791.1_S1_L008_R1_001	1.884749771	0.345021907	-0.563804367	-0.527621357	-0.329487846	-0.0050388	-0.368346674	-0.188567372	MES.2	MES.2	MES	Diff	MES	MES	MGH121_P3	MGH121_P3_A1_S1_L004.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P3_cDNA_fromECRC5791.10_S10_L008_R1_001	-0.119951034	-0.173206993	0.029243847	-0.314206235	-0.427310317	-0.491403123	0.305821361	0.118931913	G1.S	AC	AC	G1.S	G1.S	G1.S	MGH121_P3	MGH121_P3_A1_S1_L004.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P3_cDNA_fromECRC5791.11_S11_L008_R1_001	2.176716811	1.277914488	-1.772826607	-1.060202294	-0.778376276	0.203512679	-0.14613253	0.022044495	MES.2	MES.2	MES	Diff	MES	MES	MGH121_P3	MGH121_P3_A1_S1_L004.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P3_cDNA_fromECRC5791.12_S12_L008_R1_001	-0.503857483	-0.111442599	0.236292119	0.494495928	-0.342729051	-0.365844497	-0.486548332	-0.160973819	OPC	OPC	OPC	Undiff	PRO	OPC	MGH121_P3	MGH121_P3_A1_S1_L004.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P3_cDNA_fromECRC5791.13_S13_L008_R1_001	-0.285502625	0.826806667	1.478600679	0.047512867	-0.812035241	-0.39119322	-0.499922683	-0.28961279	AC	AC	AC	Diff	AC	AC	MGH121_P3	MGH121_P3_A1_S1_L004.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P3_cDNA_fromECRC5791.14_S14_L008_R1_001	1.460113636	-0.259130228	-0.955095195	-0.47296133	-0.535867493	0.33603221	-0.105196015	-0.009658902	MES.2	MES.2	MES	Diff	MES	MES	MGH121_P3	MGH121_P3_A1_S1_L004.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P3_cDNA_fromECRC5791.15_S15_L008_R1_001	0.050382966	0.771630116	0.714885417	0.229075078	0.508976991	0.077505615	1.050330873	0.022070004	G1.S	MES.1	MES	G1.S	G1.S	G1.S	MGH121_P3	NA
MGH121_P3_cDNA_fromECRC5791.17_S17_L008_R1_001	-0.494786792	-0.301176873	-0.097785401	-0.175462688	-0.329839075	-0.573063882	2.727782977	1.734894491	G1.S	AC	AC	G1.S	G1.S	G1.S	MGH121_P3	MGH121_P3_A1_S1_L004.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P3_cDNA_fromECRC5791.18_S18_L008_R1_001	-0.338044439	-0.087405741	-0.218656699	1.08782968	0.263071753	0.319541374	0.429968527	-0.002649049	OPC	OPC	OPC	Undiff	PRO	OPC	MGH121_P3	MGH121_P3_A1_S1_L004.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P3_cDNA_fromECRC5791.19_S19_L008_R1_001	-0.267355504	-0.431319912	-0.13151901	0.24346503	0.292541498	-0.119061639	0.543840105	-0.118911817	G1.S	NPC.1	NPC	G1.S	G1.S	G1.S	MGH121_P3	MGH121_P3_A1_S1_L004.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
