rna_cell	MES.2	MES.1	AC	OPC	NPC.1	NPC.2	G1.S	G2.M	Type1	Type2	Type3	Type4	Type5	Type6	Sample	meth_cell
MGH121_P1_cDNA_fromECRC5789.10_S10_L008_R1_001	-0.22904716	-0.390368143	-0.761254699	-0.466431821	-0.123145763	0.00018763	2.295548535	0.895447047	G1.S	NPC.2	NPC	G1.S	G1.S	G1.S	MGH121_P1	MGH121_P1_A1_S1_L006.CTCAGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.11_S11_L008_R1_001	1.638798324	1.087042923	0.374457917	-0.503005802	-0.847963622	-0.203479585	-0.887557037	-0.555417364	MES.2	MES.2	MES	Diff	MES	MES	MGH121_P1	MGH121_P1_A1_S1_L006.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.12_S12_L008_R1_001	-0.132332004	-0.29253598	0.361031867	0.074126251	0.583840182	0.32178751	-0.376111491	0.083635004	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P1	MGH121_P1_A1_S1_L006.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.13_S13_L008_R1_001	-0.289490482	-0.374317201	-0.681265219	0.411772429	1.203137939	0.604949516	-0.219185057	-0.25388709	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P1	MGH121_P1_A1_S1_L006.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.14_S14_L008_R1_001	-0.511547029	-0.965783519	-0.928021777	1.974982236	1.693464993	0.486103918	-0.55224562	-0.427154195	OPC	OPC	OPC	Undiff	PRO	OPC	MGH121_P1	MGH121_P1_A1_S1_L006.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.15_S15_L008_R1_001	-0.144407571	0.143745702	0.127329078	-0.27097947	-0.219189888	0.102905324	1.781334892	0.466443015	G1.S	MES.1	MES	G1.S	G1.S	G1.S	MGH121_P1	MGH121_P1_A1_S1_L006.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.16_S16_L008_R1_001	0.104476035	0.117725735	0.924661916	1.044186086	0.082421762	0.719450292	-0.920772562	-0.387646104	OPC	OPC	OPC	Undiff	PRO	OPC	MGH121_P1	MGH121_P1_A1_S1_L006.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.17_S17_L008_R1_001	0.572086843	1.269324929	1.643845017	0.295273888	-0.485100833	-0.473610776	-0.410482346	-0.43450586	AC	AC	AC	Diff	AC	AC	MGH121_P1	MGH121_P1_A1_S1_L006.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.18_S18_L008_R1_001	0.043733973	-0.351155765	-0.660446918	-0.702562608	0.002153044	-0.052375504	1.725655237	0.596774598	G1.S	MES.2	MES	G1.S	G1.S	G1.S	MGH121_P1	MGH121_P1_A1_S1_L006.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.19_S19_L008_R1_001	0.293105689	-0.455768085	-0.784265169	0.918721173	0.38318582	0.44785271	-0.762141363	-0.565345556	OPC	OPC	OPC	Undiff	PRO	OPC	MGH121_P1	MGH121_P1_A1_S1_L006.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.2_S2_L008_R1_001	0.023736543	0.084765037	-0.14384234	-0.63533643	-0.654786601	-0.09045214	0.087305804	0.008448913	G1.S	MES.1	MES	G1.S	G1.S	G1.S	MGH121_P1	MGH121_P1_A1_S1_L006.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.21_S21_L008_R1_001	-0.286985075	-0.288281267	-0.415249537	0.083933706	0.350081074	-0.370414368	-0.186173717	-0.564809975	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P1	MGH121_P1_A1_S1_L006.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.22_S22_L008_R1_001	0.333280499	0.104446647	-0.54363071	-0.445174425	-0.181219062	-0.189900382	0.948444742	-0.038516381	G1.S	MES.2	MES	G1.S	G1.S	G1.S	MGH121_P1	MGH121_P1_A1_S1_L006.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.23_S23_L008_R1_001	-0.255675428	0.502154727	1.456965069	0.72267608	-0.348294605	0.227245866	-0.404180426	-0.191758152	AC	AC	AC	Diff	AC	AC	MGH121_P1	MGH121_P1_A1_S1_L006.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.24_S24_L008_R1_001	-0.260668251	-0.402032429	-0.873422544	-0.368124046	1.433210573	0.809666041	-0.686445845	-0.002408119	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P1	MGH121_P1_A1_S1_L006.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.25_S25_L008_R1_001	-0.45033173	-0.487925227	-0.787081567	0.836327053	1.011662122	-0.083789748	-0.449678121	-0.530140729	NPC.1	NPC.1	NPC	Undiff	PRO	NPC	MGH121_P1	MGH121_P1_C1_S2_L006.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.26_S26_L008_R1_001	-0.163243138	0.268416064	0.604315642	0.200514568	-0.295897176	-0.042272232	-0.533708648	-0.087572912	AC	AC	AC	Diff	AC	AC	MGH121_P1	MGH121_P1_C1_S2_L006.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.27_S27_L008_R1_001	-0.30894893	0.680082093	1.257587439	0.260721939	-0.588857608	-0.072908013	-0.592156024	-0.312234168	AC	AC	AC	Diff	AC	AC	MGH121_P1	MGH121_P1_C1_S2_L006.AGGATG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.28_S28_L008_R1_001	-0.030804382	-0.016916516	-0.040565272	-0.581997159	-0.316710422	-0.496853277	1.175538946	0.012412684	G1.S	MES.1	MES	G1.S	G1.S	G1.S	MGH121_P1	MGH121_P1_C1_S2_L006.ATCGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH121_P1_cDNA_fromECRC5789.29_S29_L008_R1_001	0.097907399	0.034067553	-0.051550411	-0.197319733	-0.374745872	-0.413365005	-0.505218996	-0.395977595	MES.2	MES.2	MES	Diff	MES	MES	MGH121_P1	MGH121_P1_C1_S2_L006.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
