rna_cell	G1.S	G2.M	AC_PCA	AC_PCA_MICE	OC_PCA	OC_PCA_MICE	stemness	Type_max	Type_max2	Tirosh_Type_PCA	Tirosh_Type_PCA2	Tirosh_Type_PCA_MICE	Tirosh_Type_PCA_MICE2	Sample	meth_cell
MGH201-Pl1-F4_S368_ME_L001	-0.369439501	-0.183151123	0.591445763	0.628889671	-0.257284685	-0.163819178	-0.297611492	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH201-1	MGH201-1-3_S3_ME_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-B5_S321_ME_L001	-0.289931639	-0.177567641	0.398516842	0.631613872	-0.05016629	-0.118895354	-0.072444031	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH201-1	MGH201-1-1_S1_ME_L001.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-C1_S329_ME_L001	-0.427930472	-0.052244518	0.537295155	0.651116967	0.231690199	0.112246435	0.24134424	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH201-1	MGH201-1-2_S2_ME_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-H3_S391_ME_L001	-0.185800766	-0.101685652	0.422100625	0.524492212	-0.075918712	-0.24564012	0.016059658	AC_PCA_MICE	AC	undifferentiated	undifferentiated	AC	AC	MGH201-1	MGH201-1-4_S4_ME_L001.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-D12_S352_ME_L001	-0.22082101	-0.165210264	0.050982386	0.013118423	-0.023374403	-0.054757211	-0.052447651	AC_PCA	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH201-1	MGH201-1-2_S2_ME_L001.TGTAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-A6_S310_ME_L001	-0.071233604	-0.107860191	0.19146604	0.215128406	-0.454801628	-0.630491061	-0.045274878	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH201-1	MGH201-1-1_S1_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-C6_S334_ME_L001	-0.330448393	-0.111059759	0.229712868	0.513533765	-0.235783267	0.04530782	0.037320023	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH201-1	MGH201-1-2_S2_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-H9_S397_ME_L001	-0.484017661	-0.067458479	0.340378744	0.42223306	-0.109047521	0.083741924	0.229971658	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH201-1	MGH201-1-4_S4_ME_L001.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-G8_S384_ME_L001	-0.116844225	-0.209219641	0.139854925	0.230128332	-0.144148493	-0.101069124	0.191315769	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH201-1	MGH201-1-4_S4_ME_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-D6_S346_ME_L001	1.410192042	0.020568714	0.269304818	0.527658009	-0.490603886	-0.297158467	0.059200368	G1.S	G1.S	undifferentiated	G1.S	AC	G1.S	MGH201-1	MGH201-1-2_S2_ME_L001.ACAGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-D4_S344_ME_L001	2.291371419	0.709294061	-0.226564759	-0.182801348	0.027393988	0.212439288	-0.175626282	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH201-1	MGH201-1-2_S2_ME_L001.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-F2_S366_ME_L001	1.992835843	0.720874192	0.259690919	0.395000981	-0.067676827	-0.096904059	0.116914666	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH201-1	MGH201-1-3_S3_ME_L001.TATCTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-G6_S382_ME_L001	1.230906234	0.133080453	0.15043479	0.211808173	-0.298163043	-0.297334672	-0.073274339	G1.S	G1.S	undifferentiated	G1.S	undifferentiated	G1.S	MGH201-1	MGH201-1-4_S4_ME_L001.CATGAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-G1_S377_ME_L001	-0.402473771	-0.05132064	-0.118844034	-0.297416355	-0.346503523	-0.471195061	-0.101191648	G2.M	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH201-1	MGH201-1-4_S4_ME_L001.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-G5_S381_ME_L001	1.778462068	2.375689061	-0.260937484	-0.268878501	-0.085995321	-0.291033152	-0.391809995	G2.M	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH201-1	MGH201-1-4_S4_ME_L001.CAAGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-H11_S399_ME_L001	1.668809761	1.856197345	0.268429816	0.427172838	-0.532171508	-0.573732302	-0.354360229	G2.M	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH201-1	MGH201-1-4_S4_ME_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-D11_S351_ME_L001	-0.428127272	-0.181710769	-0.153910852	-0.068294068	0.522237694	0.514639935	-0.074356222	OC_PCA	OC	OC	OC	OC	OC	MGH201-1	MGH201-1-2_S2_ME_L001.GGTAAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-B8_S324_ME_L001	-0.316181688	-0.123409162	-0.40534694	-0.40950953	0.623230619	0.846058617	-0.406950542	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH201-1	MGH201-1-1_S1_ME_L001.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-F10_S374_ME_L001	-0.490239819	-0.057018398	-0.400980108	-0.438699419	0.74368811	0.887107701	-0.308573982	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH201-1	MGH201-1-3_S3_ME_L001.GAAGTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-G11_S387_ME_L001	-0.386153814	-0.157159622	-0.092319357	0.040195358	0.725184459	0.918099627	-0.225989379	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH201-1	MGH201-1-4_S4_ME_L001.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-E8_S360_ME_L001	-0.305230984	-0.33872577	-0.079734832	0.059132422	0.345361784	0.788856734	-0.077174962	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH201-1	MGH201-1-3_S3_ME_L001.CGGTAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-H7_S395_ME_L001	-0.281649718	-0.260970393	-0.333707519	-0.373920997	0.378026286	0.640260617	-0.08645788	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH201-1	MGH201-1-4_S4_ME_L001.AGAAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH201-Pl1-H8_S396_ME_L001	-0.16242084	-0.268367701	-0.133289502	-0.246811833	0.354475528	0.505412584	-0.047250414	OC_PCA_MICE	OC	undifferentiated	undifferentiated	OC	OC	MGH201-1	MGH201-1-4_S4_ME_L001.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
