rna_cell	G1.S	G2.M	AC_PCA	AC_PCA_MICE	OC_PCA	OC_PCA_MICE	stemness	Type_max	Type_max2	Tirosh_Type_PCA	Tirosh_Type_PCA2	Tirosh_Type_PCA_MICE	Tirosh_Type_PCA_MICE2	Sample	meth_cell
MGH107_P8_RNA_ofRRBS_5433.1_S1_L005_R1_001	1.196090569	2.103153963	-1.304755544	-1.644309874	-0.150299205	-0.501928757	-0.405870551	G2.M	G2.M	undifferentiated	G2.M	undifferentiated	G2.M	MGH107	MGH107_P8_A1_S1_L007.ACAACC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.11_S11_L005_R1_001	-0.405053876	-0.093143288	0.993693115	1.045334151	-0.371210433	-0.76365567	-0.054386552	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH107	MGH107_P8_A1_S1_L007.GCATTC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.12_S12_L005_R1_001	-0.326379803	-0.02767189	-0.662866293	-0.816178119	0.256988735	0.232533439	0.549445464	stemness	stemness	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH107	MGH107_P8_A1_S1_L007.GTGAGG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.13_S13_L005_R1_001	0.294109333	0.197272183	0.697300606	0.545616456	-0.605057575	-0.3822638	0.123474908	AC_PCA	AC	AC	AC	AC	AC	MGH107	MGH107_P8_A1_S1_L007.GTTGAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.15_S15_L005_R1_001	-0.036660849	0.010846269	0.900438218	1.072605799	-0.196429621	-0.247526906	-0.056737712	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH107	MGH107_P8_A1_S1_L007.TCTCTG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.16_S16_L005_R1_001	-0.097063169	0.453820668	1.072219708	1.320243962	-0.625972462	-0.672636331	-0.168418398	AC_PCA_MICE	AC	AC	AC	AC	AC	MGH107	MGH107_P8_A1_S1_L007.TGACAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.17_S17_L005_R1_001	-0.232627619	0.153558997	-0.606900346	-0.668764329	0.067840342	0.096082138	0.287516131	stemness	stemness	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH107	MGH107_P8_A1_S1_L007.TGCTGC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.2_S2_L005_R1_001	-0.42857101	-0.157212798	-0.649490536	-0.781495706	0.852967142	0.803087429	0.029325481	OC_PCA	OC	OC	OC	OC	OC	MGH107	MGH107_P8_A1_S1_L007.ACTCAC.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.20_S20_L005_R1_001	-0.169699977	-0.21158889	-0.871288069	-1.179242155	0.619131243	0.67735487	0.462261516	OC_PCA_MICE	OC	OC	OC	OC	OC	MGH107	MGH107_P8_A1_S1_L007.ATCAAG.R1.fastq_bismark_bt2_pe.bismark.cov
MGH107_P8_RNA_ofRRBS_5433.21_S21_L005_R1_001	-0.127063165	-0.200095573	0.353492141	0.399519653	-0.44764406	-0.461977299	0.082966377	AC_PCA_MICE	AC	undifferentiated	undifferentiated	undifferentiated	undifferentiated	MGH107	MGH107_P8_A1_S1_L007.CCATAG.R1.fastq_bismark_bt2_pe.bismark.cov
